symbol,entry_time,exit_time,direction,entry_price,stop_loss,take_profit,exit_price,lot_size,sl_pips,PnL_pips,PnL_$,result
GBPJPYm,2025-05-09 07:00:00,2025-05-09 10:00:00,short,192.525,192.84316020741508,191.88867958516985,192.84316020741508,0.08,31.82,-31.82,-24.18,loss
GBPJPYm,2025-05-12 07:00:00,2025-05-12 09:00:00,long,194.776,194.42307688475444,195.48184623049116,195.48184623049116,0.07,35.29,70.58,46.94,win
GBPJPYm,2025-05-12 08:00:00,2025-05-13 12:00:00,long,194.938,194.49579604799962,195.82240790400073,195.82240790400073,0.05,44.22,88.44,42.01,win
GBPJPYm,2025-05-12 09:00:00,2025-05-12 11:00:00,long,195.4,194.83578649509184,196.52842700981634,194.83578649509184,0.04,56.42,-56.42,-21.44,loss
GBPJPYm,2025-05-15 07:00:00,2025-05-15 09:00:00,short,193.549,193.90476647637726,192.8374670472455,193.90476647637726,0.07,35.58,-35.58,-23.66,loss
GBPJPYm,2025-05-22 03:00:00,2025-05-22 11:00:00,short,192.395,192.6751035130476,191.83479297390485,192.6751035130476,0.09,28.01,-28.01,-23.95,loss
GBPJPYm,2025-05-26 04:00:00,2025-05-27 00:00:00,long,193.632,193.3123120597826,194.2713758804348,193.3123120597826,0.08,31.97,-31.97,-24.3,loss
GBPJPYm,2025-05-27 05:00:00,2025-05-27 08:00:00,long,194.177,193.9121349503899,194.70673009922015,194.70673009922015,0.09,26.49,52.97,45.29,win
GBPJPYm,2025-05-27 06:00:00,2025-05-27 10:00:00,long,194.347,194.00296904688278,195.03506190623446,195.03506190623446,0.07,34.4,68.81,45.76,win
GBPJPYm,2025-05-27 07:00:00,2025-05-27 11:00:00,long,194.402,193.9938285414683,195.21834291706335,195.21834291706335,0.06,40.82,81.63,46.53,win
GBPJPYm,2025-05-27 08:00:00,2025-05-28 23:00:00,long,194.745,194.2413449418681,195.7523101162638,195.7523101162638,0.05,50.37,100.73,47.85,win
GBPJPYm,2025-05-27 09:00:00,2025-05-29 00:00:00,long,194.932,194.33430138709582,196.12739722580832,196.12739722580832,0.04,59.77,119.54,45.43,win
GBPJPYm,2025-05-27 10:00:00,2025-05-28 04:00:00,long,195.172,194.47424496174804,196.5675100765039,194.47424496174804,0.03,69.78,-69.78,-19.89,loss
GBPJPYm,2025-06-03 08:00:00,2025-06-03 09:00:00,short,192.998,193.19230791526184,192.6093841694763,193.19230791526184,0.13,19.43,-19.43,-24.0,loss
GBPJPYm,2025-06-12 08:00:00,2025-06-12 14:00:00,short,195.07,195.36578389051743,194.4784322189651,195.36578389051743,0.08,29.58,-29.58,-22.48,loss
GBPJPYm,2025-06-19 10:00:00,2025-06-19 13:00:00,long,195.604,195.24020784674718,196.33158430650568,195.24020784674718,0.07,36.38,-36.38,-24.19,loss
GBPJPYm,2025-06-20 12:00:00,2025-06-20 14:00:00,long,196.559,196.30479086225344,197.0674182754931,196.30479086225344,0.1,25.42,-25.42,-24.15,loss
GBPJPYm,2025-06-23 05:00:00,2025-06-23 12:00:00,long,197.573,197.248473904265,198.22205219147,197.248473904265,0.08,32.45,-32.45,-24.66,loss
GBPJPYm,2025-06-25 08:00:00,2025-06-26 07:00:00,long,198.15,197.81850892143987,198.81298215712027,197.81850892143987,0.07,33.15,-33.15,-22.04,loss
