symbol,entry_time,exit_time,direction,entry_price,stop_loss,take_profit,exit_price,lot_size,sl_pips,PnL_pips,PnL_$,result
GBPUSDm,2025-05-12 07:00:00,2025-05-12 09:00:00,short,1.31684,1.3203255961068077,1.3098688077863847,1.3203255961068077,0.07,34.86,-34.86,-24.4,loss
GBPUSDm,2025-05-19 03:00:00,2025-05-19 07:00:00,long,1.3296700000000001,1.3279736794829065,1.3330626410341875,1.3330626410341875,0.14,16.96,33.93,47.5,win
GBPUSDm,2025-05-19 04:00:00,2025-05-19 07:00:00,long,1.32984,1.3281918568556748,1.3331362862886502,1.3331362862886502,0.15,16.48,32.96,49.44,win
GBPUSDm,2025-05-19 05:00:00,2025-05-19 07:00:00,long,1.3299400000000001,1.3285094180082304,1.3328011639835395,1.3328011639835395,0.17,14.31,28.61,48.64,win
GBPUSDm,2025-05-19 06:00:00,2025-05-19 07:00:00,long,1.3320699999999999,1.330549373321779,1.3351112533564415,1.3351112533564415,0.16,15.21,30.41,48.66,win
GBPUSDm,2025-05-19 07:00:00,2025-05-20 12:00:00,long,1.33671,1.3343290461556754,1.3414719076886494,1.3343290461556754,0.1,23.81,-23.81,-23.81,loss
GBPUSDm,2025-05-21 03:00:00,2025-05-21 07:00:00,long,1.343,1.3410502803808155,1.3468994392383689,1.3410502803808155,0.12,19.5,-19.5,-23.4,loss
GBPUSDm,2025-05-23 07:00:00,2025-05-23 12:00:00,long,1.34792,1.3460186817759683,1.3517226364480635,1.3517226364480635,0.13,19.01,38.03,49.43,win
GBPUSDm,2025-05-23 08:00:00,2025-05-23 17:00:00,long,1.34877,1.3464834097317253,1.3533431805365495,1.3533431805365495,0.1,22.87,45.73,45.73,win
GBPUSDm,2025-05-23 09:00:00,2025-05-26 00:00:00,long,1.34976,1.3471293246594696,1.355021350681061,1.355021350681061,0.09,26.31,52.61,47.35,win
GBPUSDm,2025-05-23 10:00:00,2025-05-26 00:00:00,long,1.34964,1.3468519225577116,1.3552161548845767,1.3552161548845767,0.08,27.88,55.76,44.61,win
GBPUSDm,2025-05-23 11:00:00,2025-05-23 20:00:00,long,1.34879,1.346104093252742,1.354161813494516,1.354161813494516,0.09,26.86,53.72,48.35,win
GBPUSDm,2025-05-23 12:00:00,2025-05-23 13:00:00,long,1.3517700000000001,1.3488417559550419,1.3576264880899167,1.3488417559550419,0.08,29.28,-29.28,-23.43,loss
GBPUSDm,2025-05-28 05:00:00,2025-05-28 07:00:00,short,1.34801,1.3494636728776341,1.3451026542447315,1.3494636728776341,0.17,14.54,-14.54,-24.71,loss
GBPUSDm,2025-05-29 06:00:00,2025-05-29 08:00:00,short,1.34565,1.3473289153026307,1.3422921693947387,1.3473289153026307,0.14,16.79,-16.79,-23.5,loss
GBPUSDm,2025-06-02 06:00:00,2025-06-03 08:00:00,long,1.35306,1.3509391096623868,1.357301780675226,1.3509391096623868,0.11,21.21,-21.21,-23.33,loss
GBPUSDm,2025-06-05 12:00:00,2025-06-05 13:00:00,long,1.3578299999999999,1.356629273113914,1.3602314537721716,1.3602314537721716,0.2,12.01,24.01,48.03,win
GBPUSDm,2025-06-06 08:00:00,2025-06-06 10:00:00,short,1.35373,1.3550307081756752,1.35112858364865,1.3550307081756752,0.19,13.01,-13.01,-24.71,loss
GBPUSDm,2025-06-09 08:00:00,2025-06-09 11:00:00,long,1.35725,1.3555906665908708,1.3605686668182586,1.3555906665908708,0.15,16.59,-16.59,-24.89,loss
GBPUSDm,2025-06-10 06:00:00,2025-06-10 10:00:00,short,1.34817,1.3501617284999705,1.3441865430000592,1.3501617284999705,0.12,19.92,-19.92,-23.9,loss
GBPUSDm,2025-06-18 04:00:00,2025-06-18 18:00:00,long,1.3443,1.341793856230508,1.349312287538984,1.341793856230508,0.09,25.06,-25.06,-22.56,loss
GBPUSDm,2025-06-20 03:00:00,2025-06-20 06:00:00,long,1.34968,1.3473899660494921,1.3542600679010157,1.3473899660494921,0.1,22.9,-22.9,-22.9,loss
GBPUSDm,2025-06-23 10:00:00,2025-06-23 13:00:00,short,1.3379400000000001,1.3397600303402688,1.3342999393194628,1.3397600303402688,0.13,18.2,-18.2,-23.66,loss
GBPUSDm,2025-06-24 09:00:00,2025-06-25 19:00:00,long,1.36086,1.35813875139759,1.3663024972048199,1.3663024972048199,0.09,27.21,54.42,48.98,win
GBPUSDm,2025-06-24 10:00:00,2025-06-25 19:00:00,long,1.36078,1.357988111435189,1.3663637771296222,1.3663637771296222,0.08,27.92,55.84,44.67,win
GBPUSDm,2025-06-26 03:00:00,2025-06-26 16:00:00,long,1.37104,1.3682796767190109,1.3765606465619784,1.3765606465619784,0.09,27.6,55.21,49.69,win
GBPUSDm,2025-06-26 04:00:00,2025-06-26 08:00:00,long,1.37003,1.3674392377760027,1.3752115244479948,1.3752115244479948,0.09,25.91,51.82,46.63,win
GBPUSDm,2025-06-26 05:00:00,2025-06-26 08:00:00,long,1.37083,1.368476530617988,1.375536938764024,1.375536938764024,0.1,23.53,47.07,47.07,win
GBPUSDm,2025-06-26 06:00:00,2025-06-26 08:00:00,long,1.37184,1.3695407376958983,1.3764385246082032,1.3764385246082032,0.1,22.99,45.99,45.99,win
GBPUSDm,2025-06-26 07:00:00,2025-06-26 11:00:00,long,1.37362,1.3711605833577873,1.3785388332844255,1.3711605833577873,0.1,24.59,-24.59,-24.59,loss
GBPUSDm,2025-07-01 08:00:00,2025-07-01 09:00:00,long,1.37736,1.3759010254993047,1.3802779490013903,1.3759010254993047,0.17,14.59,-14.59,-24.8,loss
