symbol,entry_time,exit_time,direction,entry_price,stop_loss,take_profit,exit_price,lot_size,sl_pips,PnL_pips,PnL_$,result
US500m,2025-05-12 03:00:00,2025-05-12 07:00:00,long,5743.88,5708.436173331586,5814.767653336828,5814.767653336828,0.7,35.44,70.89,49.62,win
US500m,2025-05-12 04:00:00,2025-05-12 07:00:00,long,5744.64,5707.253639585347,5819.412720829308,5819.412720829308,0.66,37.39,74.77,49.35,win
US500m,2025-05-12 05:00:00,2025-05-12 07:00:00,long,5747.34,5708.3220970086095,5825.3758059827815,5825.3758059827815,0.64,39.02,78.04,49.94,win
US500m,2025-05-12 06:00:00,2025-05-12 07:00:00,long,5750.45,5711.870777320857,5827.608445358285,5827.608445358285,0.64,38.58,77.16,49.38,win
US500m,2025-05-12 07:00:00,2025-05-13 14:00:00,long,5804.2,5760.325901349236,5891.948197301527,5891.948197301527,0.56,43.87,87.75,49.14,win
US500m,2025-05-12 09:00:00,2025-05-15 16:00:00,long,5822.64,5775.528046802693,5916.863906394615,5916.863906394615,0.53,47.11,94.22,49.94,win
US500m,2025-05-12 10:00:00,2025-05-12 14:00:00,long,5842.26,5794.17181920246,5938.436361595081,5794.17181920246,0.51,48.09,-48.09,-24.52,loss
US500m,2025-05-19 08:00:00,2025-05-19 13:00:00,short,5884.1,5906.255567268487,5839.788865463028,5906.255567268487,1.12,22.16,-22.16,-24.81,loss
US500m,2025-05-23 11:00:00,2025-05-23 13:00:00,short,5764.56,5787.359661760077,5718.960676479847,5787.359661760077,1.09,22.8,-22.8,-24.85,loss
US500m,2025-05-29 03:00:00,2025-05-29 11:00:00,long,5987.93,5949.688192689511,6064.4136146209785,5949.688192689511,0.65,38.24,-38.24,-24.86,loss
US500m,2025-06-10 10:00:00,2025-06-10 17:00:00,long,6015.09,6003.2341215721635,6038.801756855673,6038.801756855673,2.1,11.86,23.71,49.79,win
US500m,2025-06-10 11:00:00,2025-06-10 15:00:00,long,6018.7,6007.028199381874,6042.043601236251,6007.028199381874,2.14,11.67,-11.67,-24.98,loss
US500m,2025-06-19 07:00:00,2025-06-19 09:00:00,short,5949.69,5963.362540620965,5922.344918758069,5963.362540620965,1.82,13.67,-13.67,-24.88,loss
US500m,2025-06-24 05:00:00,2025-06-26 17:00:00,long,6076.02,6042.433278330188,6143.193443339625,6143.193443339625,0.74,33.59,67.17,49.71,win
US500m,2025-06-24 06:00:00,2025-06-26 22:00:00,long,6090.16,6057.537020268049,6155.405959463902,6155.405959463902,0.76,32.62,65.25,49.59,win
US500m,2025-06-24 07:00:00,2025-06-26 14:00:00,long,6078.17,6054.605280037293,6125.299439925415,6125.299439925415,1.06,23.56,47.13,49.96,win
US500m,2025-06-24 08:00:00,2025-06-26 08:00:00,long,6077.6,6056.346766968684,6120.1064660626325,6120.1064660626325,1.17,21.25,42.51,49.73,win
US500m,2025-06-26 11:00:00,2025-06-26 12:00:00,long,6122.8,6114.856667320142,6138.686665359716,6114.856667320142,3.14,7.94,-7.94,-24.94,loss
US500m,2025-06-30 03:00:00,2025-06-30 14:00:00,long,6203.65,6186.81752248045,6237.314955039099,6186.81752248045,1.48,16.83,-16.83,-24.91,loss
