symbol,entry_time,exit_time,direction,entry_price,stop_loss,take_profit,exit_price,lot_size,sl_pips,PnL_pips,PnL_$,result
USDJPYm,2025-05-12 07:00:00,2025-05-14 00:00:00,long,147.91,147.27421525084844,149.1815694983031,147.27421525084844,0.04,63.58,-63.58,-24.16,loss
USDJPYm,2025-05-15 06:00:00,2025-05-15 07:00:00,short,145.534,145.8885593535159,144.8248812929682,145.8885593535159,0.07,35.46,-35.46,-23.58,loss
USDJPYm,2025-05-20 06:00:00,2025-05-20 12:00:00,short,144.497,144.72474702806286,144.0415059438743,144.72474702806286,0.11,22.77,-22.77,-23.8,loss
USDJPYm,2025-05-21 03:00:00,2025-05-21 08:00:00,short,143.788,144.08725071263248,143.18949857473507,144.08725071263248,0.08,29.93,-29.93,-22.74,loss
USDJPYm,2025-05-22 04:00:00,2025-05-22 08:00:00,short,143.295,143.52440352661134,142.8361929467773,142.8361929467773,0.11,22.94,45.88,47.95,win
USDJPYm,2025-05-22 05:00:00,2025-05-22 08:00:00,short,143.361,143.5918718782692,142.8992562434616,142.8992562434616,0.11,23.09,46.17,48.25,win
USDJPYm,2025-05-22 06:00:00,2025-05-22 08:00:00,short,143.327,143.5605974277287,142.85980514454258,142.85980514454258,0.11,23.36,46.72,48.82,win
USDJPYm,2025-05-22 07:00:00,2025-05-22 08:00:00,short,143.051,143.31387185069877,142.52525629860241,143.31387185069877,0.1,26.29,-26.29,-24.97,loss
USDJPYm,2025-05-23 11:00:00,2025-05-25 22:00:00,short,142.62,142.93053085529075,141.9989382894185,142.93053085529075,0.08,31.05,-31.05,-23.6,loss
USDJPYm,2025-05-29 12:00:00,2025-05-30 01:00:00,short,144.43,144.8772716312134,143.5354567375732,143.5354567375732,0.05,44.73,89.45,42.49,win
USDJPYm,2025-06-02 07:00:00,2025-06-03 01:00:00,short,142.9,143.20721690265069,142.28556619469865,143.20721690265069,0.08,30.72,-30.72,-23.35,loss
USDJPYm,2025-06-03 12:00:00,2025-06-03 14:00:00,long,143.418,143.18057017231172,143.89285965537658,143.89285965537658,0.11,23.74,47.49,49.62,win
USDJPYm,2025-06-12 03:00:00,2025-06-12 12:00:00,short,143.892,144.18178416560838,143.31243166878323,143.31243166878323,0.09,28.98,57.96,49.55,win
USDJPYm,2025-06-12 04:00:00,2025-06-12 12:00:00,short,143.944,144.2188059955037,143.3943880089926,143.3943880089926,0.09,27.48,54.96,46.99,win
USDJPYm,2025-06-12 05:00:00,2025-06-12 07:00:00,short,143.731,144.03435371766616,143.12429256466766,144.03435371766616,0.08,30.34,-30.34,-23.05,loss
USDJPYm,2025-06-13 09:00:00,2025-06-15 21:00:00,long,144.108,143.79754506971898,144.72890986056206,143.79754506971898,0.08,31.05,-31.05,-23.59,loss
USDJPYm,2025-06-17 03:00:00,2025-06-17 14:00:00,long,144.657,144.34636739484606,145.27826521030792,145.27826521030792,0.08,31.06,62.13,47.22,win
USDJPYm,2025-06-17 04:00:00,2025-06-17 14:00:00,long,144.586,144.31833582628553,145.12132834742897,145.12132834742897,0.09,26.77,53.53,45.77,win
USDJPYm,2025-06-19 03:00:00,2025-06-19 09:00:00,long,145.07,144.88766735808414,145.4346652838317,145.4346652838317,0.14,18.23,36.47,48.5,win
USDJPYm,2025-06-19 04:00:00,2025-06-19 07:00:00,long,145.035,144.856040967914,145.392918064172,145.392918064172,0.14,17.9,35.79,47.6,win
USDJPYm,2025-06-19 10:00:00,2025-06-19 13:00:00,long,145.701,145.4826126035104,146.13777479297917,145.4826126035104,0.12,21.84,-21.84,-24.9,loss
USDJPYm,2025-06-23 03:00:00,2025-06-23 06:00:00,long,146.696,146.38945131967725,147.3090973606455,147.3090973606455,0.08,30.65,61.31,46.6,win
USDJPYm,2025-06-23 04:00:00,2025-06-23 09:00:00,long,146.985,146.6342990065394,147.68640198692123,147.68640198692123,0.07,35.07,70.14,46.64,win
USDJPYm,2025-06-23 05:00:00,2025-06-23 09:00:00,long,147.102,146.71212021435593,147.88175957128814,147.88175957128814,0.06,38.99,77.98,44.45,win
USDJPYm,2025-06-23 06:00:00,2025-06-23 10:00:00,long,147.155,146.75125042441957,147.96249915116087,147.96249915116087,0.06,40.37,80.75,46.03,win
USDJPYm,2025-06-23 07:00:00,2025-06-23 14:00:00,long,147.327,146.90417816081296,148.17264367837407,146.90417816081296,0.06,42.28,-42.28,-24.1,loss
USDJPYm,2025-06-26 03:00:00,2025-06-26 07:00:00,short,144.783,145.11824316252907,144.11251367494182,144.11251367494182,0.07,33.52,67.05,44.59,win
USDJPYm,2025-06-26 04:00:00,2025-06-26 07:00:00,short,144.78,145.08325393740222,144.17349212519557,144.17349212519557,0.08,30.33,60.65,46.09,win
USDJPYm,2025-06-26 05:00:00,2025-06-26 07:00:00,short,144.641,144.9218327882309,144.0793344235382,144.0793344235382,0.09,28.08,56.17,48.02,win
USDJPYm,2025-06-26 06:00:00,2025-06-26 22:00:00,short,144.303,144.60737697130335,143.6942460573933,144.60737697130335,0.08,30.44,-30.44,-23.13,loss
USDJPYm,2025-06-30 07:00:00,2025-06-30 12:00:00,short,144.122,144.4189218271345,143.52815634573102,144.4189218271345,0.08,29.69,-29.69,-22.57,loss
USDJPYm,2025-07-01 07:00:00,2025-07-01 14:00:00,short,143.065,143.34108516165034,142.5128296766993,143.34108516165034,0.09,27.61,-27.61,-23.61,loss
