symbol,entry_time,exit_time,direction,entry_price,stop_loss,take_profit,exit_price,lot_size,sl_pips,PnL_pips,PnL_$,result
XAUUSDm,2025-05-06 12:00:00,2025-05-06 20:00:00,long,3391.025,3373.0742525067335,3426.9264949865333,3426.9264949865333,0.01,1795.07,3590.15,35.9,win
XAUUSDm,2025-05-12 07:00:00,2025-05-13 05:00:00,short,3222.647,3255.4074456124335,3157.1261087751327,3255.4074456124335,0.01,3276.04,-3276.04,-32.76,loss
XAUUSDm,2025-05-14 12:00:00,2025-05-15 02:00:00,short,3184.754,3200.3844359967925,3153.4931280064147,3153.4931280064147,0.01,1563.04,3126.09,31.26,win
XAUUSDm,2025-05-15 04:00:00,2025-05-15 08:00:00,short,3138.574,3153.977364666112,3107.7672706677763,3153.977364666112,0.01,1540.34,-1540.34,-15.4,loss
XAUUSDm,2025-05-15 12:00:00,2025-05-15 17:00:00,long,3188.79,3169.196866706779,3227.976266586442,3227.976266586442,0.01,1959.31,3918.63,39.19,win
XAUUSDm,2025-05-22 04:00:00,2025-05-22 06:00:00,long,3338.574,3326.1195713132897,3363.4828573734208,3326.1195713132897,0.02,1245.44,-1245.44,-24.91,loss
XAUUSDm,2025-05-23 06:00:00,2025-05-23 12:00:00,long,3331.037,3319.3528097298417,3354.405380540316,3354.405380540316,0.02,1168.42,2336.84,46.74,win
XAUUSDm,2025-05-23 07:00:00,2025-05-23 12:00:00,long,3329.145,3315.626054883794,3356.182890232412,3356.182890232412,0.01,1351.89,2703.79,27.04,win
XAUUSDm,2025-05-23 08:00:00,2025-05-23 12:00:00,long,3326.336,3311.997216390078,3355.0135672198435,3355.0135672198435,0.01,1433.88,2867.76,28.68,win
XAUUSDm,2025-05-23 09:00:00,2025-05-23 12:00:00,long,3328.785,3313.980683145158,3358.393633709684,3358.393633709684,0.01,1480.43,2960.86,29.61,win
XAUUSDm,2025-05-23 10:00:00,2025-05-23 12:00:00,long,3328.672,3314.263158841233,3357.4896823175345,3357.4896823175345,0.01,1440.88,2881.77,28.82,win
XAUUSDm,2025-05-23 11:00:00,2025-05-26 00:00:00,long,3347.926,3331.755938335926,3380.2661233281474,3331.755938335926,0.01,1617.01,-1617.01,-16.17,loss
XAUUSDm,2025-05-29 12:00:00,2025-05-30 02:00:00,long,3316.467,3300.5104804553766,3348.380039089247,3300.5104804553766,0.01,1595.65,-1595.65,-15.96,loss
XAUUSDm,2025-06-02 06:00:00,2025-06-02 13:00:00,long,3344.458,3329.580037304181,3374.213925391638,3374.213925391638,0.01,1487.8,2975.59,29.76,win
